"boundary","subject","Context","Speechness","stdize_b"
8.8118740566586,"X034","Tone 2","Nonspeech",8.8118740566586
9.36178643844533,"X013","Tone 2","Nonspeech",9.36178643844533
9.00432444215559,"X029","Tone 2","Nonspeech",9.00432444215559
7.08960627256056,"X007","Tone 2","Nonspeech",7.08960627256056
7.46676897538083,"X011","Tone 2","Nonspeech",7.46676897538083
6.3986380822642,"X014","Tone 2","Nonspeech",6.3986380822642
8.08969252697904,"X010","Tone 2","Nonspeech",8.08969252697904
3.93974139868809,"X006","Tone 2","Nonspeech",3.93974139868809
8.02530230181251,"X016","Tone 2","Nonspeech",8.02530230181251
6.13686815256026,"X012","Tone 2","Nonspeech",6.13686815256026
8.22314223993237,"X015","Tone 2","Nonspeech",8.22314223993237
8.76947220752261,"X005","Tone 2","Nonspeech",8.76947220752261
7.10205297817254,"X014","Tone 2","Nonspeech",7.10205297817254
9.91083480631943,"X027","Tone 2","Nonspeech",9.91083480631943
6.39727922666579,"X003","Tone 2","Nonspeech",6.39727922666579
8.58903194942917,"X009","Tone 2","Nonspeech",8.58903194942917
8.187750014356,"X020","Tone 2","Nonspeech",8.187750014356
5.230528272743,"X026","Tone 2","Nonspeech",5.230528272743
9.20771951389854,"X008","Tone 2","Nonspeech",9.20771951389854
3.30215851042378,"X021","Tone 2","Nonspeech",3.30215851042378
10.1427460688613,"X025","Tone 2","Nonspeech",10.1427460688613
5.32586891252191,"X022","Tone 2","Nonspeech",5.32586891252191
4.82915218739786,"X024","Tone 2","Nonspeech",4.82915218739786
9.63821356251234,"X004","Tone 4","Nonspeech",9.63821356251234
9.87049816394266,"X017","Tone 4","Nonspeech",9.87049816394266
8.0250457955043,"X033","Tone 4","Nonspeech",8.0250457955043
10.2395342734799,"X030","Tone 4","Nonspeech",10.2395342734799
8.89794737513139,"X031","Tone 4","Nonspeech",8.89794737513139
9.36178643844533,"X001","Tone 4","Nonspeech",9.36178643844533
9.24623075382365,"X032","Tone 4","Nonspeech",9.24623075382365
8.4371055255386,"X035","Tone 4","Nonspeech",8.4371055255386
6.79173898269612,"X019","Tone 4","Nonspeech",6.79173898269612
8.59387901588929,"X018","Tone 4","Nonspeech",8.59387901588929
9.17637019145522,"X034","Tone 4","Nonspeech",9.17637019145522
9.63821356251234,"X013","Tone 4","Nonspeech",9.63821356251234
10.0320215068771,"X029","Tone 4","Nonspeech",10.0320215068771
8.04824432263111,"X007","Tone 4","Nonspeech",8.04824432263111
8.99918784967352,"X011","Tone 4","Nonspeech",8.99918784967352
6.78484839783482,"X014","Tone 4","Nonspeech",6.78484839783482
8.93736061538153,"X010","Tone 4","Nonspeech",8.93736061538153
10.560336417715,"X006","Tone 4","Nonspeech",10.560336417715
8.63162692608768,"X016","Tone 4","Nonspeech",8.63162692608768
7.75454938160044,"X012","Tone 4","Nonspeech",7.75454938160044
9.10205387076707,"X015","Tone 4","Nonspeech",9.10205387076707
9.10205387076707,"X005","Tone 4","Nonspeech",9.10205387076707
8.36178636406169,"X014","Tone 4","Nonspeech",8.36178636406169
9.50000000003308,"X027","Tone 4","Nonspeech",9.50000000003308
8.06231476833047,"X003","Tone 4","Nonspeech",8.06231476833047
8.78782143658329,"X009","Tone 4","Nonspeech",8.78782143658329
10.2744999086776,"X020","Tone 4","Nonspeech",10.2744999086776
6.41383125768945,"X026","Tone 4","Nonspeech",6.41383125768945
9.53323074661715,"X008","Tone 4","Nonspeech",9.53323074661715
10.2964496272106,"X021","Tone 4","Nonspeech",10.2964496272106
10.7591751086182,"X025","Tone 4","Nonspeech",10.7591751086182
9.55181431644572,"X022","Tone 4","Nonspeech",9.55181431644572
7.08789246324504,"X024","Tone 4","Nonspeech",7.08789246324504
7.85725282392553,"X004","Tone 1","Speech",7.85725282392553
8.25726136130502,"X017","Tone 1","Speech",8.25726136130502
7.36178637708046,"X033","Tone 1","Speech",7.36178637708046
7.30665781725862,"X030","Tone 1","Speech",7.30665781725862
5.78439992243975,"X031","Tone 1","Speech",5.78439992243975
7.80356057701436,"X001","Tone 1","Speech",7.80356057701436
7.02600142693731,"X032","Tone 1","Speech",7.02600142693731
6.02860928169742,"X019","Tone 1","Speech",6.02860928169742
5.43170908324572,"X018","Tone 1","Speech",5.43170908324572
7.06625988050575,"X035","Tone 1","Speech",7.06625988050575
7.73657121658789,"X034","Tone 1","Speech",7.73657121658789
5.49999999996692,"X013","Tone 1","Speech",5.49999999996692
7.62734543395722,"X029","Tone 1","Speech",7.62734543395722
5.63162701083795,"X007","Tone 1","Speech",5.63162701083795
