"","step","Context tone","Speechness","subject","T4_count"
"437","step03","No context","Speech","X008",7
"438","step04","No context","Speech","X008",7
"439","step05","No context","Speech","X008",7
"440","step06","No context","Speech","X008",6
"441","step07","No context","Speech","X008",3
"442","step08","No context","Speech","X008",0
"443","step09","No context","Speech","X008",0
"444","step10","No context","Speech","X008",0
"445","step11","No context","Speech","X008",0
"446","step12","No context","Speech","X008",0
"447","step13","No context","Speech","X008",0
"448","step14","No context","Speech","X008",0
"449","step01","No context","Speech","X025",7
"450","step02","No context","Speech","X025",7
"451","step03","No context","Speech","X025",7
"452","step04","No context","Speech","X025",7
"453","step05","No context","Speech","X025",7
"454","step06","No context","Speech","X025",6
"455","step07","No context","Speech","X025",5
"456","step08","No context","Speech","X025",4
"457","step09","No context","Speech","X025",1
"458","step10","No context","Speech","X025",1
"459","step11","No context","Speech","X025",0
"460","step12","No context","Speech","X025",0
"461","step13","No context","Speech","X025",0
"462","step14","No context","Speech","X025",0
"463","step01","No context","Nonspeech","X004",7
"464","step02","No context","Nonspeech","X004",7
"465","step03","No context","Nonspeech","X004",7
"466","step04","No context","Nonspeech","X004",7
"467","step05","No context","Nonspeech","X004",7
"468","step06","No context","Nonspeech","X004",7
"469","step07","No context","Nonspeech","X004",7
"470","step08","No context","Nonspeech","X004",7
"471","step09","No context","Nonspeech","X004",5
"472","step10","No context","Nonspeech","X004",1
"473","step11","No context","Nonspeech","X004",0
"474","step12","No context","Nonspeech","X004",0
"475","step13","No context","Nonspeech","X004",0
"476","step14","No context","Nonspeech","X004",0
"477","step01","No context","Nonspeech","X001",7
"478","step02","No context","Nonspeech","X001",7
"479","step03","No context","Nonspeech","X001",7
"480","step04","No context","Nonspeech","X001",7
"481","step05","No context","Nonspeech","X001",7
"482","step06","No context","Nonspeech","X001",7
"483","step07","No context","Nonspeech","X001",7
"484","step08","No context","Nonspeech","X001",7
"485","step09","No context","Nonspeech","X001",4
"486","step10","No context","Nonspeech","X001",1
"487","step11","No context","Nonspeech","X001",0
"488","step12","No context","Nonspeech","X001",0
"489","step13","No context","Nonspeech","X001",0
"490","step14","No context","Nonspeech","X001",0
"491","step01","No context","Nonspeech","X031",7
"492","step02","No context","Nonspeech","X031",7
"493","step03","No context","Nonspeech","X031",7
"494","step04","No context","Nonspeech","X031",7
"495","step05","No context","Nonspeech","X031",7
"496","step06","No context","Nonspeech","X031",7
"497","step07","No context","Nonspeech","X031",7
"498","step08","No context","Nonspeech","X031",6
"499","step09","No context","Nonspeech","X031",1
"500","step10","No context","Nonspeech","X031",0
"501","step11","No context","Nonspeech","X031",0
"502","step12","No context","Nonspeech","X031",0
"503","step13","No context","Nonspeech","X031",0
"504","step14","No context","Nonspeech","X031",0
"505","step01","No context","Nonspeech","X033",7
"506","step02","No context","Nonspeech","X033",7
"507","step03","No context","Nonspeech","X033",7
"508","step04","No context","Nonspeech","X033",7
"509","step05","No context","Nonspeech","X033",7
"510","step06","No context","Nonspeech","X033",5
"511","step07","No context","Nonspeech","X033",5
"512","step08","No context","Nonspeech","X033",2
"513","step09","No context","Nonspeech","X033",0
"514","step10","No context","Nonspeech","X033",0
"515","step11","No context","Nonspeech","X033",0
"516","step12","No context","Nonspeech","X033",0
"517","step13","No context","Nonspeech","X033",0
"518","step14","No context","Nonspeech","X033",0
"519","step01","No context","Nonspeech","X017",7
"520","step02","No context","Nonspeech","X017",7
"521","step03","No context","Nonspeech","X017",7
"522","step04","No context","Nonspeech","X017",7
"523","step05","No context","Nonspeech","X017",7
"524","step06","No context","Nonspeech","X017",6
"525","step07","No context","Nonspeech","X017",7
"526","step08","No context","Nonspeech","X017",6
"527","step09","No context","Nonspeech","X017",5
"528","step10","No context","Nonspeech","X017",4
"529","step11","No context","Nonspeech","X017",0
"530","step12","No context","Nonspeech","X017",0
"531","step13","No context","Nonspeech","X017",0
"532","step14","No context","Nonspeech","X017",0
"533","step01","No context","Nonspeech","X032",7
"534","step02","No context","Nonspeech","X032",7
"535","step03","No context","Nonspeech","X032",7
"536","step04","No context","Nonspeech","X032",7
"537","step05","No context","Nonspeech","X032",7
"538","step06","No context","Nonspeech","X032",7
"539","step07","No context","Nonspeech","X032",7
"540","step08","No context","Nonspeech","X032",7
"541","step09","No context","Nonspeech","X032",6
"542","step10","No context","Nonspeech","X032",3
"543","step11","No context","Nonspeech","X032",0
"544","step12","No context","Nonspeech","X032",0
"545","step13","No context","Nonspeech","X032",0
"546","step14","No context","Nonspeech","X032",0
"547","step01","No context","Nonspeech","X030",7
"548","step02","No context","Nonspeech","X030",7
"549","step03","No context","Nonspeech","X030",7
"550","step04","No context","Nonspeech","X030",7
"551","step05","No context","Nonspeech","X030",7
"552","step06","No context","Nonspeech","X030",7
"553","step07","No context","Nonspeech","X030",7
"554","step08","No context","Nonspeech","X030",6
"555","step09","No context","Nonspeech","X030",6
"556","step10","No context","Nonspeech","X030",2
"557","step11","No context","Nonspeech","X030",0
"558","step12","No context","Nonspeech","X030",0
"559","step13","No context","Nonspeech","X030",0
"560","step14","No context","Nonspeech","X030",0
"561","step01","No context","Nonspeech","X035",7
"562","step02","No context","Nonspeech","X035",7
"563","step03","No context","Nonspeech","X035",7
"564","step04","No context","Nonspeech","X035",7
"565","step05","No context","Nonspeech","X035",7
"566","step06","No context","Nonspeech","X035",6
"567","step07","No context","Nonspeech","X035",5
"568","step08","No context","Nonspeech","X035",3
"569","step09","No context","Nonspeech","X035",0
"570","step10","No context","Nonspeech","X035",0
"571","step11","No context","Nonspeech","X035",0
"572","step12","No context","Nonspeech","X035",0
"573","step13","No context","Nonspeech","X035",0
"574","step14","No context","Nonspeech","X035",0
"575","step01","No context","Nonspeech","X019",7
"576","step02","No context","Nonspeech","X019",7
"577","step03","No context","Nonspeech","X019",7
"578","step04","No context","Nonspeech","X019",7
"579","step05","No context","Nonspeech","X019",5
"580","step06","No context","Nonspeech","X019",4
"581","step07","No context","Nonspeech","X019",2
"582","step08","No context","Nonspeech","X019",2
"583","step09","No context","Nonspeech","X019",0
"584","step10","No context","Nonspeech","X019",0
"585","step11","No context","Nonspeech","X019",0
"586","step12","No context","Nonspeech","X019",0
"587","step13","No context","Nonspeech","X019",0
"588","step14","No context","Nonspeech","X019",0
"589","step01","No context","Nonspeech","X018",7
"590","step02","No context","Nonspeech","X018",7
"591","step03","No context","Nonspeech","X018",7
"592","step04","No context","Nonspeech","X018",7
"593","step05","No context","Nonspeech","X018",6
"594","step06","No context","Nonspeech","X018",6
"595","step07","No context","Nonspeech","X018",5
"596","step08","No context","Nonspeech","X018",4
"597","step09","No context","Nonspeech","X018",0
"598","step10","No context","Nonspeech","X018",0
"599","step11","No context","Nonspeech","X018",0
"600","step12","No context","Nonspeech","X018",0
"601","step13","No context","Nonspeech","X018",0
"602","step14","No context","Nonspeech","X018",0
"603","step01","No context","Nonspeech","X034",7
"604","step02","No context","Nonspeech","X034",7
"605","step03","No context","Nonspeech","X034",7
"606","step04","No context","Nonspeech","X034",7
"607","step05","No context","Nonspeech","X034",7
"608","step06","No context","Nonspeech","X034",7
"609","step07","No context","Nonspeech","X034",7
"610","step08","No context","Nonspeech","X034",5
"611","step09","No context","Nonspeech","X034",3
"612","step10","No context","Nonspeech","X034",0
"613","step11","No context","Nonspeech","X034",0
"614","step12","No context","Nonspeech","X034",0
"615","step13","No context","Nonspeech","X034",0
"616","step14","No context","Nonspeech","X034",0
"617","step01","No context","Nonspeech","X013",7
"618","step02","No context","Nonspeech","X013",7
"619","step03","No context","Nonspeech","X013",7
"620","step04","No context","Nonspeech","X013",7
"621","step05","No context","Nonspeech","X013",7
"622","step06","No context","Nonspeech","X013",7
"623","step07","No context","Nonspeech","X013",7
"624","step08","No context","Nonspeech","X013",6
"625","step09","No context","Nonspeech","X013",4
"626","step10","No context","Nonspeech","X013",3
"627","step11","No context","Nonspeech","X013",0
"628","step12","No context","Nonspeech","X013",0
"629","step13","No context","Nonspeech","X013",0
"630","step14","No context","Nonspeech","X013",0
"631","step01","No context","Nonspeech","X029",7
"632","step02","No context","Nonspeech","X029",7
"633","step03","No context","Nonspeech","X029",7
"634","step04","No context","Nonspeech","X029",7
"635","step05","No context","Nonspeech","X029",7
"636","step06","No context","Nonspeech","X029",6
