"","step","Context","Subject","T4_count","T4_percent"
"287",11,"zero","X28",0,0
"288",10,"zero","X28",1,0.142857142857143
"289",9,"zero","X28",3,0.428571428571429
"290",8,"zero","X28",7,1
"291",7,"zero","X28",7,1
"292",6,"zero","X28",7,1
"293",5,"zero","X28",7,1
"294",4,"zero","X28",7,1
"295",3,"zero","X28",7,1
"296",2,"zero","X28",7,1
"297",1,"zero","X28",7,1
"298",11,"zero","X25",0,0
"299",10,"zero","X25",0,0
"300",9,"zero","X25",0,0
"301",8,"zero","X25",1,0.142857142857143
"302",7,"zero","X25",5,0.714285714285714
"303",6,"zero","X25",7,1
"304",5,"zero","X25",7,1
"305",4,"zero","X25",7,1
"306",3,"zero","X25",7,1
"307",2,"zero","X25",7,1
"308",1,"zero","X25",7,1
"309",11,"zero","X19",1,0.142857142857143
"310",10,"zero","X19",1,0.142857142857143
"311",9,"zero","X19",4,0.571428571428571
"312",8,"zero","X19",5,0.714285714285714
"313",7,"zero","X19",7,1
"314",6,"zero","X19",7,1
"315",5,"zero","X19",7,1
"316",4,"zero","X19",7,1
"317",3,"zero","X19",7,1
"318",2,"zero","X19",7,1
"319",1,"zero","X19",7,1
"320",11,"Tone1","Group.1",1,0.142857142857143
"321",10,"Tone1","Group.1",2,0.285714285714286
"322",9,"Tone1","Group.1",3,0.428571428571429
"323",8,"Tone1","Group.1",4,0.571428571428571
"324",7,"Tone1","Group.1",5,0.714285714285714
"325",6,"Tone1","Group.1",6,0.857142857142857
"326",5,"Tone1","Group.1",7,1
"327",4,"Tone1","Group.1",8,1.14285714285714
"328",3,"Tone1","Group.1",9,1.28571428571429
"329",2,"Tone1","Group.1",10,1.42857142857143
"330",1,"Tone1","Group.1",11,1.57142857142857
"331",11,"Tone2","Group.1",1,0.142857142857143
"332",10,"Tone2","Group.1",2,0.285714285714286
"333",9,"Tone2","Group.1",3,0.428571428571429
"334",8,"Tone2","Group.1",4,0.571428571428571
"335",7,"Tone2","Group.1",5,0.714285714285714
"336",6,"Tone2","Group.1",6,0.857142857142857
"337",5,"Tone2","Group.1",7,1
"338",4,"Tone2","Group.1",8,1.14285714285714
"339",3,"Tone2","Group.1",9,1.28571428571429
"340",2,"Tone2","Group.1",10,1.42857142857143
"341",1,"Tone2","Group.1",11,1.57142857142857
"342",11,"Tone4","Group.1",1,0.142857142857143
"343",10,"Tone4","Group.1",2,0.285714285714286
"344",9,"Tone4","Group.1",3,0.428571428571429
"345",8,"Tone4","Group.1",4,0.571428571428571
"346",7,"Tone4","Group.1",5,0.714285714285714
"347",6,"Tone4","Group.1",6,0.857142857142857
"348",5,"Tone4","Group.1",7,1
"349",4,"Tone4","Group.1",8,1.14285714285714
"350",3,"Tone4","Group.1",9,1.28571428571429
"351",2,"Tone4","Group.1",10,1.42857142857143
"352",1,"Tone4","Group.1",11,1.57142857142857
"353",11,"Tone1","hui",1,0.142857142857143
"354",10,"Tone1","hui",0,0
"355",9,"Tone1","hui",0,0
"356",8,"Tone1","hui",3,0.428571428571429
"357",7,"Tone1","hui",7,1
"358",6,"Tone1","hui",7,1
"359",5,"Tone1","hui",7,1
"360",4,"Tone1","hui",7,1
"361",3,"Tone1","hui",7,1
"362",2,"Tone1","hui",7,1
"363",1,"Tone1","hui",7,1
"364",11,"Tone2","hui",1,0.142857142857143
